,V1
216,554.282775
217,932.3588283
218,1587.616469
219,2720.333388
220,1566.003765
221,1439.494573
222,615.0145408
223,608.4552656
224,676.1155966
225,1558.939034
226,2436.612972
227,1710.743313
228,1191.175087
229,1495.903273
230,731.0130891
231,1385.81084
232,578.7687182
233,1215.429893
234,744.3327446
235,2886.994252
236,1912.572065
237,822.473511
238,1304.715546
239,1836.061302
240,830.0851724
241,1261.600561
242,766.4698533
243,2058.209486
244,493.7763453
245,875.3400129
246,1691.923085
247,572.5247641
248,650.8627831
249,892.2081465
250,1079.561085
251,1446.438141
252,3567.0849
253,1191.136112
254,2474.036755
255,302.0202242
256,539.5339621
257,508.4564782
258,1968.178833
259,254.9326273
260,1906.534718
261,835.1991328
262,686.013651
263,959.5649513
264,680.8842877
265,671.7726956
266,743.3142293
267,826.9848551
268,970.8264851
269,636.8193174
270,1229.606212
271,703.3408547
272,731.2741745
273,691.912734
274,2205.785731
275,1821.889313
276,2641.875513
277,2681.563578
278,1433.011295
279,620.9786217
280,3626.113947
281,1727.626902
282,2138.628356
283,1947.851153
284,1413.509152
285,342.1285049
286,2007.459364
287,2167.418139
288,1154.406097
289,989.9232996
290,3445.859307
291,1443.043111
292,1549.334697
293,4678.621745
294,1358.753916
295,1168.342687
296,1915.563969
297,810.3263666
298,1861.539888
299,1281.71611
300,3773.024377
301,533.0744207
302,2087.129976
303,977.538814
304,6847.197037
305,405.6320902
306,1467.137202
307,2707.988285
308,1229.243659
309,1324.941735
310,859.0945263
311,752.4750485
312,1371.958296
313,707.5194546
314,1650.316552
315,387.7330423
316,346.9621864
317,2546.739047
318,849.1315526
319,1460.106789
320,652.6686617
321,1126.69385
322,1501.201792
323,3258.882076
324,1650.524275
325,944.8142707
326,1845.082299
327,2874.482048
328,2590.775812
329,4420.065138
330,712.7015248
331,1696.533255
332,3594.035445
333,2604.493702
334,1259.194134
335,2192.998263
336,3238.666331
337,6464.360685
338,2276.000288
339,2494.973477
340,1717.97928
341,2170.317957
342,1305.25341
343,3347.789276
344,1245.022633
345,2369.653348
346,1365.63157
347,343.1960422
348,516.0822698
349,2422.041716
350,737.3760822
351,613.9567086
352,856.7370196
353,1292.50811
354,3892.3203
355,2857.631484
356,1704.563136
357,1122.045662
358,572.0121187
359,659.5009557
360,430.5831421
361,2500.550178
362,1469.249357
363,1920.729787
364,1008.802337
365,1937.87914
366,687.9610628
367,1152.534993
368,1564.409294
369,3324.578451
370,2160.163954
371,1173.032545
372,2302.490746
373,2363.712346
374,675.2411236
375,1289.903644
376,1404.288345
377,554.8752307
378,2052.213606
379,3135.937747
380,559.5384711
